OBJECTID,PEDON_ID,LAYER_ID,U_DEPTH,L_DEPTH,COLOUR_1,COLOUR_2,CONSIS_DRY,CONSIS_MST,CONSIS_PLS,CONSIS_WET,MOTTLE_FRQ,MOTTLE_SZE,ROOT_FREQ,ROOT_LOCTN,ROOT_ORIEN,ROOT_THICK,S_PRM_GRAD,S_PRM_KIND,S_PRM_MOD,S_PRM_SIZE,S_SEC_GRAD,S_SEC_KIND,S_SEC_MOD,S_SEC_SIZE,SALINITY,EFFERVESC
502,1987,1,0,19,100yr3010,100yr3520,Loose,Friable,Slightly," "," "," "," "," "," "," ",Weak,Granular," ",Medium," "," "," "," "," "," "
503,1987,2,19,22,100yr2010,100yr3010,Loose,Friable,Slightly," "," "," "," "," "," "," ",Weak,Granular," ",Medium," "," "," "," "," "," "
504,1987,3,22,51,100yr3530,100yr4520," ",Friable,Slightly," "," "," "," "," "," "," ",Weak,Prismatic," ",Medium," "," "," "," "," "," "
505,1987,4,51,102,100yr5040,100yr6020," "," ",Nonplastic," "," "," "," "," "," "," ",None,Massive," "," "," "," "," "," "," ",Moderate
506,1987,5,102," ",100yr6020,100yr7030," "," "," "," ",Common," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Moderate
507,1988,1,0,14,100yr2010,100yr3010,"Slightly hard",Friable," "," "," "," "," "," "," "," ",Weak,Granular," ",Fine," "," "," "," "," "," "
508,1988,2,14,19,100yr2010,100yr3010,"Slightly hard",Friable," "," "," "," "," "," "," "," ",Weak,Granular," ",Fine," "," "," "," "," "," "
509,1988,3,19,29,100yr3020,100yr4020,"Slightly hard",Friable," "," "," "," "," "," "," "," ",Weak,Granular," ",Coarse," "," "," "," "," "," "
510,1988,4,29,36,100yr2010,100yr4010,"Slightly hard",Friable," "," "," "," "," "," "," "," ",Weak,Granular," ",Fine," "," "," "," "," "," "
511,1988,5,36,55,100yr4030,100yr6030,Loose,Loose," "," "," "," "," "," "," "," ",None,"Single grained"," "," "," "," "," "," "," ",Weak
512,1988,6,55,65,"025y 5020","025y 7020","Very hard",Firm," "," "," "," "," "," "," "," ",Moderate,Granular," ",Fine," "," "," "," "," ",Moderate
513,1988,7,65," ",100yr6030,100yr7020,"Very hard",Firm," "," "," "," "," "," "," "," ",Moderate,Granular," ",Fine," "," "," "," ",Weakly,Moderate
514,1989,1,0,14,100yr2020," "," ",Friable,Slightly," "," "," "," "," "," "," ",Weak,Granular," ",Medium," "," "," "," "," ",Weak
515,1989,2,14,26,100yr2010," "," ",Friable,Slightly," "," "," "," "," "," "," ",Weak,Granular," ",Medium," "," "," "," "," "," "
516,1989,3,26,53,100yr3030," "," ",Friable,Slightly," "," "," "," "," "," "," ",Weak,Granular," ",Medium," "," "," "," "," ",Weak
517,1989,4,53,62,"025y 4520"," "," ",Friable,Slightly," ",Few,Fine," "," "," "," ",None,"Single grained"," "," "," "," "," "," "," ",Strong
518,1989,5,62,86,"025y 5040"," "," ",Loose,Nonplastic," ",Few,Fine," "," "," "," ",None,"Single grained"," "," "," "," "," "," "," ",Moderate
519,1989,6,86," ","025y 6020"," "," ",Firm,Slightly," ",Few,Fine," "," "," "," ",None,Massive," "," "," "," "," "," "," ",Strong
520,199,1,0,16,100yr3030," "," ",Friable,Slightly," "," "," "," "," "," "," ","Weak to moderate","Sub-angular blocky"," ","Fine to medium"," "," "," "," "," "," "
521,199,2,16,40,"050y 4010"," "," ",Friable,"Very plastic"," "," "," "," "," "," "," ",None,Massive," "," "," "," "," "," "," "," "
522,199,3,40,62,"050y 4010"," "," ",Friable,"Very plastic"," "," "," "," "," "," "," ",None,Massive," "," "," "," "," "," "," ","Very weak"
523,199,4,62,78,100yr4510," "," ",Friable,Plastic," "," "," "," "," "," "," ",None,Massive," "," "," "," "," "," "," ",Strong
524,199,5,78,120,100yr5030," "," ",Friable,Plastic," "," "," "," "," "," "," ",None,Massive," "," "," "," "," "," "," ",Strong
525,1990,1,0,15," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
526,1990,2,15,38," "," "," "," "," "," "," "," "," "," "," "," "," ",Prismatic," "," "," "," "," "," "," "," "
527,1990,3,38,64," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
528,1990,4,64,91," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
529,1990,5,91,122," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
530,1991,1,0,14,100yr2510,100yr3510,Soft,Friable," "," "," "," "," "," "," "," ",Weak,Granular," ",Fine," "," "," "," "," ",Weak
531,1991,2,14,22,100yr3020,100yr5020,"Slightly hard",Friable," "," "," "," "," "," "," "," ",Weak,Granular," ",Fine," "," "," "," "," ",Moderate
532,1991,3,22,31,100yr7020,100yr8020,Hard,Firm," "," "," "," "," "," "," "," ",Moderate,Granular," ",Fine," "," "," "," "," ",Strong
533,1991,4,31," ",100yr7030,100yr8030,Soft,Friable," "," "," "," "," "," "," "," ",Weak,Granular," ",Fine," "," "," "," "," ",Strong
534,1992,1,0,10,100yr2510,100y53510," ",Friable," "," "," "," "," "," "," "," ",None,Massive," "," "," "," "," "," "," ",Weak
535,1992,2,10,14," "," "," ",Friable," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Weak
536,1992,3,14,31,100yr7510," "," ",Friable," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Moderate
537,1992,4,31,60," "," "," ",Friable," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Moderate
538,1992,5,60," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Weak
539,1993,1,0,22,100yr3010,100yr3510,Loose,Loose," "," "," "," "," "," "," "," ",Weak,Granular," ",Fine," "," "," "," "," "," "
540,1993,2,22,43,100yr4040,100yr4020,Loose,Loose," "," ",Common," "," "," "," "," ",None,"Single grained"," "," "," "," "," "," "," "," "
541,1993,3,43,58,100yr5030,100yr7020,Loose,Loose," "," "," "," "," "," "," "," ",None,"Single grained"," "," "," "," "," "," "," ",Moderate
542,1993,4,58," ",100yr7040,100yr7020,Loose,Loose," "," "," "," "," "," "," "," ",None,"Single grained"," "," "," "," "," "," "," ",Moderate
543,1994,1,0,29,100yr2510," "," ","Very friable"," "," "," "," "," "," "," "," ",None,"Single grained"," "," "," "," "," "," "," "," "
544,1994,2,29,36," "," "," ",Loose," "," "," "," "," "," "," "," ",None,"Single grained"," "," "," "," "," "," "," "," "
545,1994,3,36,65,100yr3020," "," ",Loose," "," "," "," "," "," "," "," ",None,"Single grained"," "," "," "," "," "," "," "," "
546,1994,4,65,70," "," "," ",Loose," "," "," "," "," "," "," "," ",None,"Single grained"," "," "," "," "," "," "," "," "
547,1994,5,70," "," "," "," ",Loose," "," "," "," "," "," "," "," ",None,"Single grained"," "," "," "," "," "," "," ",Strong
548,1995,1,0,15,100yr2010," ",Loose,Friable," "," "," "," "," "," "," "," ",Weak,Granular," ",Fine," "," "," "," "," "," "
549,1995,2,15,20,100yr2020," ",Loose,Friable," "," "," "," "," "," "," "," ",Weak,Granular," ",Fine," "," "," "," "," "," "
550,1995,3,20,51,100yr3020," ",Loose,Friable," "," "," "," "," "," "," "," ",None,"Single grained"," "," "," "," "," "," "," "," "
551,1995,4,51,71,100yr5520," ",Hard,Friable," "," "," "," "," "," "," "," ",None,"Single grained"," "," "," "," "," "," "," ",Moderate
552,1995,5,71," "," "," ",Hard,Friable," "," "," "," "," "," "," "," ",None,"Single grained"," "," "," "," "," "," "," ",Moderate
553,1996,1,0,15,100yr2010," "," ","Very friable"," "," "," "," "," "," "," "," "," ",Granular," ",Fine," "," "," "," "," "," "
554,1996,2,15,41,100yr3010," "," ",Friable," "," "," "," "," "," "," "," "," ",Granular," ",Fine," "," "," "," "," "," "
555,1996,3,41,56,100yr3020," "," ",Friable," "," "," "," "," "," "," "," ",None," "," "," "," "," "," "," "," "," "
556,1996,4,56,61,100yr4520," "," "," "," "," ",Common," "," "," "," "," "," ",Granular," "," "," "," "," "," "," ",Weak
557,1996,5,61,71," "," "," "," "," "," ",Common," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Moderate
558,1996,6,71,117," "," "," "," "," "," ",Common," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Moderate
559,1996,7,117," "," "," "," "," "," "," "," "," "," "," "," "," "," ","Angular blocky"," ",Fine," "," "," "," "," ",Moderate
560,1997,1,0,14," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Weakly," "
561,1997,2,14,29," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","Moderately saline"," "
562,1997,3,29," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Strong," "
563,1998,1,0,10,100yr2020," ",Soft,"Very friable"," "," "," "," "," "," "," "," ",Weak,Granular," ",Fine," "," "," "," "," ",Weak
564,1998,2,10,19,100yr3020," ",Soft,Friable," "," "," "," "," "," "," "," "," ",Granular," ",Coarse," "," "," "," "," ",Moderate
565,1998,3,19,48,100yr4020," ","Slightly hard",Firm," "," "," "," "," "," "," "," ",Weak,Granular," ",Fine," "," "," "," "," ",Moderate
566,1998,4,48,62,"025y 5040"," ",Soft,Firm," "," "," "," "," "," "," "," ",Weak,Granular," ",Fine," "," "," "," "," ",Moderate
567,1998,5,62," ","025y 6040"," ","Slightly hard",Firm," "," "," "," "," "," "," "," ",Weak,Granular," ",Fine," "," "," "," "," ",Moderate
568,1999,1,0,10,100yr2010," ",Hard," "," ",Sticky," "," "," "," "," "," ",Moderate,Granular," ",Coarse," "," "," "," "," ",Weak
569,1999,2,10,19,100yr4020," ",Hard," "," ",Sticky," "," "," "," "," "," ",Moderate,Granular," ",Medium," "," "," "," "," ",Weak
570,1999,3,19,36,"025y 5030"," ","Very hard"," "," ","Very sticky"," "," "," "," "," "," ",None,Massive," "," "," "," "," "," "," ",Strong
571,1999,4,36,48,100yr4040," ",Hard," "," ",Sticky,Common," "," "," "," "," ",Weak,Platy," ",Coarse," "," "," "," "," ",Moderate
572,1999,5,48," ","025y 5040"," ","Very hard"," "," ","Very sticky",Common," "," "," "," "," ",Weak,Platy," ",Coarse," "," "," "," "," ",Strong
573,2000,1,0,29,100yr3540," "," ","Very friable"," "," "," "," "," "," "," "," ",None,Massive," "," "," "," "," "," "," "," "
574,2000,2,29," ",100yr2510," "," "," "," "," "," "," "," "," "," "," ",None,Massive," "," "," "," "," "," "," ",Weak
575,2002,1,0,6,"025y 4020"," "," ",Friable," "," "," "," "," "," "," "," "," ",Prismatic," "," "," "," "," "," "," "," "
576,2002,2,6,25,"025y 4020"," ",Hard," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
577,2002,3,25,51,"025y 4020"," ","Very hard"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
578,2002,4,51,76,"025y 4020"," ","Very hard"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
579,2003,1,0,14,100yr2020,100yr4020," ",Friable," "," "," "," "," "," "," "," "," ","Sub-angular blocky"," ",Coarse," "," "," "," "," "," "
580,2003,2,14," ",100yr3020,100yr5020," ",Firm," "," "," "," "," "," "," "," "," ","Sub-angular blocky"," ",Coarse," "," "," "," "," ",Weak
581,2004,1,0,14,100yr2020," ","Slightly hard",Friable," "," "," "," "," "," "," "," ",Weak,Granular," ",Medium," "," "," "," "," "," "
582,2004,2,14,29,100yr3020," ","Slightly hard",Friable," "," "," "," "," "," "," "," ",Weak,Granular," ",Medium," "," "," "," "," "," "
583,2004,3,29,38,100yr4520," ",Hard," ",Plastic," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Weak
584,2004,4,38," ","025y 5540"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Moderate
585,2005,1,0,12," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
586,2005,2,12,22," "," "," "," "," "," "," "," "," "," "," "," ",Moderate,"Angular blocky"," ",Medium," "," "," "," "," "," "
587,2005,3,22,26," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
588,2005,4,26,48," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
589,2007,1,0,24,100yr2010," ",Soft,Friable," "," "," "," "," "," "," "," ",Weak,Granular," ","Fine to medium"," "," "," "," "," ",Weak
590,2007,2,24,53,100yr3020,100yr6010,"Slightly hard",Friable," "," "," "," "," "," "," "," ",Weak,Granular," ",Fine," "," "," "," "," ",Moderate
591,2007,3,53," ","025y 6040"," ",Loose,Loose," "," ",Few,Fine," "," "," "," ",None,Massive," "," "," "," "," "," "," ",Moderate
592,2008,1,0,17,100yr2010,100yr3010,Soft,Friable," "," "," "," "," "," "," "," ",Weak,Granular," ",Fine," "," "," "," "," "," "
593,2008,2,17,38,100yr3020,100yr4520,Soft,Friable," "," ",Common," "," "," "," "," "," ",Prismatic," ","Medium to coarse"," "," "," "," "," "," "
594,2008,3,38,41,100yr3530," ",Soft,Friable," "," "," "," "," "," "," "," "," ",Granular," ",Fine," "," "," "," "," ",Moderate
595,2008,4,41,67,100yr7030,100yr7020,"Slightly hard",Friable," "," "," "," "," "," "," "," "," ",Granular," ",Fine," "," "," "," "," ",Moderate
596,2008,5,67," ",100yr7010," ",Loose,Loose," "," "," "," "," "," "," "," ",None,"Single grained"," ",Fine," "," "," "," "," ",Moderate
597,2009,1,0,12,100yr2020," ","Slightly hard"," ",Slightly," "," "," "," "," "," "," ",Weak,Granular," ",Medium," "," "," "," "," "," "
598,2009,2,12,31,100yr3040," ","Slightly hard"," ",Slightly," "," "," "," "," "," "," ",Weak," "," ",Medium," "," "," "," "," "," "
599,2009,3,31," ","025y 5040"," "," "," "," "," ",Common," "," "," "," "," ",None,"Single grained"," "," "," "," "," "," "," ",Moderate
600,201,1,0,13,100yr4020,100yr5020," ",Friable,Slightly," "," "," "," "," "," "," ",Moderate,"Sub-angular blocky"," ","Medium to coarse"," "," "," "," "," "," "
601,201,2,13,34,100yr5040,100yr6030," ",Friable,Nonplastic," "," "," "," "," "," "," ","Weak to moderate","Angular blocky"," ",Medium," "," "," "," "," ",Moderate
602,201,3,34,61,100yr5530,100yr6520," ",Friable,Nonplastic," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Moderate
603,201,4,61," ",100yr4520,100yr6025," ",Friable,Slightly," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Moderate
604,2010,1,0,12,100yr2010," "," ",Friable," ",Nonsticky," "," "," "," "," "," ",Weak,Granular," ",Fine," "," "," "," "," "," "
605,2010,2,12,24,100yr3025," "," ",Friable," ",Nonsticky," "," "," "," "," "," ",Moderate,Granular," ",Coarse," "," "," "," "," "," "
606,2010,3,24,48,"025y 5520"," "," ",Friable," ",Slightly," "," "," "," "," "," ",Weak,Granular," ",Fine," "," "," "," "," ",Moderate
607,2010,4,48," ","025y 5560"," "," ",Friable," ",Nonsticky,Common," "," "," "," "," ",None,"Single grained"," "," "," "," "," "," "," ",Weak
608,2012,1,0,10,100yr3010," ",Hard,Friable," "," "," "," "," "," "," "," ",Weak,Granular," ",Fine," "," "," "," "," ",Weak
609,2012,2,10,29,100yr3020," ",Hard,Friable," "," "," "," "," "," "," "," ",Moderate,Prismatic," ",Fine," "," "," "," "," "," "
610,2012,3,29,53,100yr7020," ",Hard,Friable," "," ",Few,Fine," "," "," "," ",Weak,Granular," ",Fine," "," "," "," "," ",Moderate
611,2012,4,53,86,100yr6020," ",Hard,Friable," "," ",Few,Fine," "," "," "," ",Weak,Granular," ",Fine," "," "," "," "," ",Moderate
612,2012,5,86," ",100yr4040," ",Hard,Friable," "," ",Few,Fine," "," "," "," "," "," "," "," "," "," "," "," ",Weakly,Weak
613,2014,1,0,12,100yr2010," ",Soft,"Very friable"," "," "," "," "," "," "," "," ",Moderate,Granular," ",Fine," "," "," "," "," "," "
614,2014,2,12,24,100yr3020," ","Slightly hard",Firm," "," "," "," "," "," "," "," ",Moderate,"Sub-angular blocky"," ",Fine," "," "," "," "," "," "
615,2014,3,24,31,100yr4020," ","Slightly hard",Friable," "," "," "," "," "," "," "," ",Weak,Granular," ","Fine to medium"," "," "," "," "," ",Weak
616,2014,4,31," ","025y 5040"," ",Hard,Friable," "," "," "," "," "," "," "," ",Weak,Granular," ",Medium," "," "," "," "," ",Moderate
617,2015,1,0,14,100yr2010," ",Soft,"Very friable"," "," "," "," "," "," "," "," ",Weak,Granular," ","Very fine"," "," "," "," "," "," "
618,2015,2,14,29,100yr3020," ",Hard,Firm," "," "," "," "," "," "," "," ",Strong,"Sub-angular blocky"," ",Fine," "," "," "," "," "," "
619,2015,3,29,34,"025y 5040"," ","Slightly hard",Friable," "," "," "," "," "," "," "," ",Weak,Granular," ",Coarse," "," "," "," "," ",Weak
620,2015,4,34," ","025y 5040"," ","Slightly hard",Friable," "," "," "," "," "," "," "," ",Weak,Granular," ",Fine," "," "," "," "," ",Moderate
621,2016,1,0,14,100yr2010," "," ",Friable," ",Sticky," "," "," "," "," "," ",Weak,Granular," ",Fine," "," "," "," "," "," "
622,2016,2,14,31,100yr3530," "," ",Friable," ",Sticky," "," "," "," "," "," ",Weak,Granular," ",Medium," "," "," "," "," "," "
623,2016,3,31,36,"050y 6530"," "," ",Firm," ","Very sticky"," "," "," "," "," "," ",Weak,Granular," ",Medium," "," "," "," "," ",Strong
624,2016,4,36," ","050y 5530"," "," ",Firm," ","Very sticky"," "," "," "," "," "," ",Weak,Granular," ",Medium," "," "," "," "," ",Moderate
625,2017,1,0,10," "," ",Hard,Friable,Slightly," "," "," "," "," "," "," ",Moderate,Granular," ",Medium," "," "," "," "," "," "
626,2017,2,10,17," "," ",Hard,Friable,Slightly," "," "," "," "," "," "," ",Moderate,Granular," ",Medium," "," "," "," "," "," "
627,2017,3,17,24," "," ",Loose,Friable,Slightly," "," "," "," "," "," "," ",Weak,Platy," ",Fine," "," "," "," "," ",Moderate
628,2017,4,24," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Moderate
629,2018,1,0,7,100yr2520," "," ",Friable," "," "," "," "," "," "," "," "," ",Prismatic," "," "," "," "," "," "," "," "
630,2018,2,7,24,100yr4030," "," ",Friable," "," "," "," "," "," "," "," ",Strong,Prismatic," "," "," "," "," "," "," "," "
631,2018,3,24," "," "," "," ",Friable," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Moderate
632,2019,1,0,10,100yr2010," "," ",Friable," "," "," "," "," "," "," "," "," ",Granular," "," "," "," "," "," "," "," "
633,2019,2,10,14," "," "," ",Friable," "," "," "," "," "," "," "," ",Weak,"Angular blocky"," ",Medium," "," "," "," "," "," "
634,2019,3,14,43," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
635,2020,1,0,14,100yr2010," ","Slightly hard",Friable," "," "," "," "," "," "," "," ",Moderate,Granular," ",Fine," "," "," "," "," "," "
636,2020,2,14,19,100yr2010," ","Slightly hard",Friable," "," "," "," "," "," "," "," ",Moderate,Granular," ",Fine," "," "," "," "," "," "
637,2020,3,19,38,100yr3020," ","Slightly hard",Friable," "," "," "," "," "," "," "," ",Strong,Granular," ",Fine," "," "," "," "," ",Weak
638,2020,4,38,53,100yr6030," ",Hard,Firm," "," "," "," "," "," "," "," ",Weak,Granular," ",Fine," "," "," "," "," ",Strong
639,2020,5,53," ","025y 5040"," ","Slightly hard",Firm," "," "," "," "," "," "," "," ",Weak,Granular," ",Fine," "," "," "," "," ",Moderate
640,2021,1,0,14,100yr2520," ","Slightly hard"," ",Slightly," "," "," "," "," "," "," ",Moderate,Granular," ",Medium," "," "," "," "," ",Weak
641,2021,2,14,26,100yr3520," ","Slightly hard"," ",Slightly," "," "," "," "," "," "," ",Weak,Granular," ",Medium," "," "," "," "," ",Weak
642,2021,3,26,34,"025y 6020"," ",Hard," ","Very plastic"," "," "," "," "," "," "," ",Weak,Granular," ",Medium," "," "," "," "," ",Moderate
643,2021,4,34,72,"025y 7020"," ",Hard," ","Very plastic"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Strong
644,2021,5,72," ","025y 6030"," ",Hard," ","Very plastic"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Strong
645,2022,1,0,14,100yr2010," ","Slightly hard",Friable," "," "," "," "," "," "," "," ",Weak,Granular," ",Fine," "," "," "," "," ",Weak
646,2022,2,14,19,100yr2510," ","Slightly hard","Very friable"," "," "," "," "," "," "," "," ",None,"Single grained"," "," "," "," "," "," "," ",Weak
647,2022,3,19,29,100yr4020," ",Soft,"Very friable"," "," "," "," "," "," "," "," ",None,"Single grained"," "," "," "," "," "," "," ",Moderate
648,2022,4,29,53,100yr5030," ",Soft,"Very friable"," "," "," "," "," "," "," "," ",None,"Single grained"," "," "," "," "," "," "," ",Moderate
649,2022,5,53," ",100yr5040," ",Loose,Loose," "," "," "," "," "," "," "," ",None,"Single grained"," "," "," "," "," "," "," ",Weak
650,2023,1,0,14,100yr2010," ",Soft,"Very friable"," "," "," "," "," "," "," "," ",None,"Single grained"," "," "," "," "," "," "," "," "
651,2023,2,14,31,100yr2010," ",Soft,"Very friable"," "," "," "," "," "," "," "," ",None,"Single grained"," "," "," "," "," "," "," "," "
652,2023,3,31,38,100yr3020," ",Soft,"Very friable"," "," "," "," "," "," "," "," ",None,"Single grained"," "," "," "," "," "," "," "," "
653,2023,4,38,48,100yr3030," ",Loose,Loose," "," "," "," "," "," "," "," ",None,"Single grained"," "," "," "," "," "," "," "," "
654,2023,5,48,55,100yr3030," ",Soft,Friable," "," "," "," "," "," "," "," "," ",Granular," ",Fine," "," "," "," "," "," "
655,2023,6,55," ",100yr4030," ",Loose,Loose," "," "," "," "," "," "," "," ",None,"Single grained"," "," "," "," "," "," "," ",Moderate
656,2025,1,0,14,100yr2010," ",Loose,"Very friable"," "," "," "," "," "," "," "," ",Weak,Granular," ",Fine," "," "," "," "," "," "
657,2025,2,14,34,100yr2010," ",Hard,"Very friable"," "," "," "," "," "," "," "," ",Weak,Granular," ",Fine," "," "," "," "," "," "
658,2025,3,34,58,100yr3020," ",Soft,"Very friable"," "," "," "," "," "," "," "," ",Weak,Granular," ",Fine," "," "," "," "," "," "
659,2025,4,58,77,100yr4510," ","Slightly hard",Friable," "," "," "," "," "," "," "," ",Moderate,Granular," ",Fine," "," "," "," "," ",Weak
660,2025,5,77," ",100yr5040," ",Loose,Loose," "," "," "," "," "," "," "," ",None,"Single grained"," "," "," "," "," "," "," ",Moderate
661,2026,1,0,14,100yr2010,100yr3510,Soft,"Very friable"," "," "," "," "," "," "," "," ",Weak,Granular," ",Fine," "," "," "," "," ",Weak
662,2026,2,14,29,100yr2015,100yr4510,Soft,"Very friable"," "," "," "," "," "," "," "," ",Weak,Granular," ",Fine," "," "," "," "," ",Moderate
663,2026,3,29,38,100yr5020,100yr6010,"Slightly hard",Friable," "," "," "," "," "," "," "," ",Weak,Granular," ",Medium," "," "," "," "," ",Strong
664,2026,4,38,50,100yr4010,100yr5010,"Slightly hard",Friable," "," "," "," "," "," "," "," ",Weak,Granular," ",Medium," "," "," "," "," ",Strong
665,2026,5,50,60,100yr5020,100yr6020,Soft,"Very friable"," "," "," "," "," "," "," "," ",None,"Single grained"," "," "," "," "," "," "," ",Moderate
666,2026,6,60," ",100yr5540,100yr6030,Loose,Loose," "," "," "," "," "," "," "," ",None,"Single grained"," "," "," "," "," "," "," ",Moderate
667,2027,1,5,0," ",100yr2020,Loose," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
668,2027,2,0,7,100yr4030,100yr6510,Hard,Loose," "," "," "," "," "," "," "," ",Weak,Platy," ",Fine," "," "," "," "," "," "
669,2027,3,7,31,100yr3030,100yr5030,"Slightly hard",Firm," "," "," "," "," "," "," "," ",Moderate,"Sub-angular blocky"," ",Medium," "," "," "," "," "," "
670,2027,4,31,53,100yr4030,100yr5040,"Slightly hard",Firm," "," "," "," "," "," "," "," ",Weak,"Sub-angular blocky"," ",Medium," "," "," "," "," ",Weak
671,2027,5,53,86,100yr5020,100yr6020,"Slightly hard",Friable," "," "," "," "," "," "," "," ",Weak,Granular," ",Fine," "," "," "," "," ",Weak
672,2027,6,86,115,100yr5020,100yr6020," ",Friable," "," "," "," "," "," "," "," ",Weak,Granular," ",Fine," "," "," "," "," ",Weak
673,2028,1,0,4," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
674,2028,2,4,13," "," "," "," "," "," "," "," "," "," "," "," ",Weak,Platy," ",Medium," "," "," "," "," "," "
675,2028,3,13,31," "," "," "," "," "," "," "," "," "," "," "," ",Strong,"Angular blocky"," ",Medium," "," "," "," "," "," "
676,2028,4,31,36," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
677,2030,1,0,12,100yr2010," "," "," "," "," "," "," "," "," "," "," ",Weak,Granular," ",Fine," "," "," "," "," "," "
678,2030,2,12,17,100yr4020," "," "," "," "," ",Common," "," "," "," "," "," ",Platy," ",Coarse," "," "," "," "," "," "
679,2030,3,17,58,100yr3020," "," "," "," "," ",Common," "," "," "," "," "," ","Angular blocky"," ",Medium," "," "," "," "," "," "
680,2030,4,58,67,"050y 4030"," "," "," "," "," ",Common," "," "," "," "," "," ","Angular blocky"," ",Medium," "," "," "," "," ",Weak
681,2030,5,67," ","050y 4020"," "," "," "," "," ",Common," "," "," "," "," "," "," "," "," "," "," "," "," "," ",Moderate
682,2031,1,0,14,100yr2010,100yr3010,"Slightly hard"," "," ",Slightly," "," "," "," "," "," ",Weak,"Sub-angular blocky"," ",Fine," "," "," "," "," ",Weak
683,2031,2,14,24,100yr2010,100yr3010,"Slightly hard"," "," ",Slightly," "," "," "," "," "," ",None,Massive," "," "," "," "," "," "," ",Weak
684,2031,3,24," ","050y 3020","050y 4020","Very hard"," "," ",Sticky," "," "," "," "," "," ",None,Massive," "," "," "," "," "," "," ",Moderate
685,2032,1,0,18,100yr3020," ","Slightly hard",Friable," "," "," "," "," "," "," "," ",Weak,Granular," ",Fine," "," "," "," "," ",Moderate
686,2032,2,18,25,"025y 5020"," ","Slightly hard",Friable," "," "," "," "," "," "," "," ",Weak,Granular," ",Fine," "," "," "," "," ",Moderate
687,2032,3,25,50,"050y 6030"," ",Soft,Friable,Slightly," ",Few,Fine," "," "," "," "," "," "," "," "," "," "," "," "," ",Moderate
688,2033,2,0,19,100yr6030," ",Loose,Loose,Nonplastic," ",Common,Medium," "," "," "," ",Weak,Granular," ",Fine," "," "," "," "," "," "
689,2033,3,19,48,075yr5060,100yr7060,Loose,Loose,Nonplastic," ",Few,Medium," "," "," "," ",Weak,Granular," ",Fine," "," "," "," "," "," "
690,2033,4,48,70,100yr6020,100yr6030,Loose,Loose,Nonplastic," ",Common,Fine," "," "," "," ",Weak,Granular," ",Fine," "," "," "," "," "," "
691,2033,5,70,72,100yr3030,100yr5030,Soft,Friable,Nonplastic," ",Common,Medium," "," "," "," ",Moderate,Granular," ",Medium," "," "," "," "," "," "
692,2033,6,72,82,"025y 6500"," ",Soft,"Very friable",Nonplastic," ",Common,Medium," "," "," "," ",Weak,Granular," ",Medium," "," "," "," "," ",Moderate
693,2033,7,82," ",100yr5040," ",Soft,Loose,Nonplastic," ",Common,Medium," "," "," "," "," "," "," "," "," "," "," "," "," ",Weak
694,2034,1,0,10,100yr2010," ",Hard,Firm,"Very plastic"," "," "," "," "," "," "," ",Weak,Granular," ",Fine," "," "," "," "," ",Weak
